// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MyBenchmark.UseEntityBufferedMessageForeach: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.8
// Runtime=.NET 7.0.11 (7.0.1123.42427), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

WorkloadActual   4: 131072 op, 810608100.00 ns, 6.1844 us/op
WorkloadActual   5: 131072 op, 829974300.00 ns, 6.3322 us/op
WorkloadActual   6: 131072 op, 824623000.00 ns, 6.2914 us/op
WorkloadActual   7: 131072 op, 842605000.00 ns, 6.4286 us/op
WorkloadActual   8: 131072 op, 775555600.00 ns, 5.9170 us/op
WorkloadActual   9: 131072 op, 765056600.00 ns, 5.8369 us/op
WorkloadActual  10: 131072 op, 795019400.00 ns, 6.0655 us/op
WorkloadActual  11: 131072 op, 736953200.00 ns, 5.6225 us/op
WorkloadActual  12: 131072 op, 799780200.00 ns, 6.1018 us/op
WorkloadActual  13: 131072 op, 843726200.00 ns, 6.4371 us/op
WorkloadActual  14: 131072 op, 826697800.00 ns, 6.3072 us/op
WorkloadActual  15: 131072 op, 755479600.00 ns, 5.7639 us/op

WorkloadResult   1: 131072 op, 888965800.00 ns, 6.7823 us/op
WorkloadResult   2: 131072 op, 818954600.00 ns, 6.2481 us/op
WorkloadResult   3: 131072 op, 756459900.00 ns, 5.7713 us/op
WorkloadResult   4: 131072 op, 810115400.00 ns, 6.1807 us/op
WorkloadResult   5: 131072 op, 829481600.00 ns, 6.3284 us/op
WorkloadResult   6: 131072 op, 824130300.00 ns, 6.2876 us/op
WorkloadResult   7: 131072 op, 842112300.00 ns, 6.4248 us/op
WorkloadResult   8: 131072 op, 775062900.00 ns, 5.9133 us/op
WorkloadResult   9: 131072 op, 764563900.00 ns, 5.8332 us/op
